invoice_id,customer,amount
INV001,Simran,5000
INV002,Varun,1500
INV003,Isha,10000
INV004,Nikhil,3000
INV005,Aditya,5000
INV006,Pooja,2000
INV007,Isha,3000
INV008,Isha,2000
INV009,Riya,1000
INV010,Vikram,1500
INV011,Simran,3000
INV012,Amit,10000
INV013,Aditya,15000
INV014,Ananya,2000
INV015,Rohan,1000
INV016,Karan,2500
INV017,Isha,1000
INV018,Rahul,15000
INV019,Aditya,1500
INV020,Karan,1000
INV021,Sneha,7500
INV022,Arjun,1500
INV023,Amit,5000
INV024,Ananya,7500
INV025,Sneha,2000
INV026,Vikram,10000
INV027,Varun,20000
INV028,Karan,10000
INV029,Rahul,15000
INV030,Vikram,1500
INV031,Rohan,1000
INV032,Rahul,10000
INV033,Rohan,15000
INV034,Amit,1500
INV035,Kavya,1500
INV036,Karan,7500
INV037,Karan,7500
INV038,Arjun,1500
INV039,Isha,15000
INV040,Karan,1000
INV041,Riya,15000
INV042,Arjun,15000
INV043,Arjun,2000
INV044,Arjun,7500
INV045,Aditya,15000
INV046,Priya,1500
INV047,Kavya,7500
INV048,Priya,5000
INV049,Vikram,7500
INV050,Aditya,15000
INV051,Vikram,3000
INV052,Simran,15000
INV053,Varun,10000
INV054,Kavya,2000
INV055,Rahul,20000
INV056,Priya,7500
INV057,Amit,2000
INV058,Amit,2500
INV059,Neha,1000
INV060,Karan,20000
INV061,Arjun,2000
INV062,Sneha,3000
INV063,Meera,10000
INV064,Isha,5000
INV065,Aditya,10000
INV066,Vikram,2500
INV067,Manish,10000
INV068,Arjun,2500
INV069,Sneha,7500
INV070,Manish,10000
INV071,Arjun,5000
INV072,Pooja,5000
INV073,Ananya,1000
INV074,Karan,3000
INV075,Aditya,1000
INV076,Simran,1000
INV077,Varun,1000
INV078,Nikhil,15000
INV079,Pooja,7500
INV080,Priya,15000
INV081,Karan,20000
INV082,Vikram,15000
INV083,Vikram,20000
INV084,Meera,5000
INV085,Vikram,2000
INV086,Aditya,5000
INV087,Kavya,2000
INV088,Ananya,1500
INV089,Arjun,20000
INV090,Vikram,15000
INV091,Meera,10000
INV092,Meera,15000
INV093,Priya,1500
INV094,Pooja,10000
INV095,Meera,2500
INV096,Amit,1000
INV097,Isha,20000
INV098,Arjun,7500
INV099,Arjun,2000
INV100,Varun,2000
