transaction_id,customer,amount
PAY001,Simran,5000
PAY002,Varun,1500
PAY003,Isha,10000
PAY004,Nikhil,3000
PAY005,Aditya,5000
PAY006,Pooja,2000
PAY007,Isha,3000
PAY008,Isha,2000
PAY009,Riya,1000
PAY010,Vikram,1400
PAY011,Simran,3000
PAY012,Amit,10000
PAY013,Aditya,15000
PAY014,Ananya,2000
PAY015,Rohan,1000
PAY016,Karan,2500
PAY017,Isha,1000
PAY018,Rahul,15000
PAY019,Aditya,1500
PAY020,Karan,900
PAY021,Sneha,7500
PAY022,Arjun,1500
PAY023,Amit,5000
PAY024,Ananya,7500
PAY025,Sneha,2000
PAY026,Vikram,10000
PAY027,Varun,20000
PAY028,Karan,10000
PAY029,Rahul,15000
PAY030,Vikram,1350
PAY031,Rohan,1000
PAY032,Rahul,10000
PAY033,Rohan,15000
PAY034,Amit,1500
PAY035,Kavya,1500
PAY036,Karan,7500
PAY037,Karan,7500
PAY038,Arjun,1500
PAY039,Isha,15000
PAY040,Karan,850
PAY041,Riya,15000
PAY042,Arjun,15000
PAY043,Arjun,2000
PAY044,Arjun,7500
PAY045,Aditya,15000
PAY046,Priya,1500
PAY047,Kavya,7500
PAY048,Priya,5000
PAY049,Vikram,7500
PAY050,Aditya,14950
PAY051,Vikram,3000
PAY052,Simran,15000
PAY053,Varun,10000
PAY054,Kavya,2000
PAY055,Rahul,20000
PAY056,Priya,7500
PAY057,Amit,2000
PAY058,Amit,2500
PAY059,Neha,1000
PAY060,Karan,19850
PAY061,Arjun,2000
PAY062,Sneha,3000
PAY063,Meera,10000
PAY064,Isha,5000
PAY065,Aditya,10000
PAY066,Vikram,2500
PAY067,Manish,10000
PAY068,Arjun,2500
PAY069,Sneha,7500
PAY070,Manish,9950
PAY071,Arjun,5000
PAY072,Pooja,5000
PAY073,Ananya,1000
PAY074,Karan,3000
PAY075,Aditya,1000
PAY076,Simran,1000
PAY077,Varun,1000
PAY078,Nikhil,15000
PAY079,Pooja,7500
PAY080,Priya,14900
PAY081,Karan,20000
PAY082,Vikram,15000
PAY083,Vikram,20000
PAY084,Meera,5000
PAY085,Vikram,2000
PAY086,Aditya,5000
PAY087,Kavya,2000
PAY088,Ananya,1500
PAY089,Arjun,20000
PAY090,Vikram,14900
PAY091,Meera,10000
PAY092,Meera,15000
PAY093,Priya,1500
PAY094,Pooja,10000
PAY095,Meera,2500
PAY096,Amit,1000
PAY097,Isha,20000
PAY098,Arjun,7500
PAY099,Arjun,2000
PAY100,Varun,1950
